consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura,clase
"buenos dias, queria saber mi situación académica, si estoy libre o regular en la carrera. mi otra consulta se debe al hecho que intenté inscribirme a la cursada de ideas políticas 20690 y no me figura en la nómina de materias para cursar. desde ya muchas gracias ",4,1,3,1,2016,1,2,1,1,1,8,6,263,0.0,0.7870722433460076,5,48,23,0.8958333333333334,0.015209125475285171,2,1,Ingreso a la Universidad
"buenos dias, queria saber mi situación académica, si estoy libre o regular en la carrera. mi otra consulta se debe al hecho que intenté inscribirme a la cursada de ideas políticas 20690 y no me figura en la nómina de materias para cursar. desde ya muchas gracias ",4,1,3,1,2016,1,2,1,1,1,8,6,263,0.0,0.7870722433460076,5,48,23,0.8958333333333334,0.015209125475285171,2,1,Exámenes
solicito recuperar la clave de mi perfil ya que no me llega en mail para poder recuperarla ,4,2,2,1,2018,3,5,2,1,1,5,6,91,0.0,0.8131868131868132,0,18,11,1.0,0.0,1,0,Cambio de Carrera
"consulta sobre el boleto estudiantil provincial, quiero llenar el formulario pero me sale que ya tengo asignado un beneficio. no entiendo. otra consulta, no me salen los horarios para el 2do cuatrimestre.  gracias. ",0,5,7,1,2018,0,8,2,1,1,3,6,215,0.0,0.8093023255813954,0,35,18,0.8571428571428571,0.027906976744186046,4,0,Requisitos de Ingreso
"consulta sobre el boleto estudiantil provincial, quiero llenar el formulario pero me sale que ya tengo asignado un beneficio. no entiendo. otra consulta, no me salen los horarios para el 2do cuatrimestre.  gracias. ",0,5,7,1,2018,0,8,2,1,1,3,6,215,0.0,0.8093023255813954,0,35,18,0.8571428571428571,0.027906976744186046,4,0,Cursadas
"estimados, buenos días.  quería consultarles si han recibido correctamente mi solicitud de título y las encuestas realizadas a tal fin. porque no he recibido ningún correo ni notificación desde el día que complete ambas encuestas en el mes de julio.  quedo a la espera de su respuesta.  muchas gracias. atte. ",6,2,10,2,2017,0,4,1,1,1,3,6,309,0.0,0.8058252427184466,6,54,27,0.8333333333333334,0.022653721682847898,6,0,Ingreso a la Universidad
"estimados, buenos días.  quería consultarles si han recibido correctamente mi solicitud de título y las encuestas realizadas a tal fin. porque no he recibido ningún correo ni notificación desde el día que complete ambas encuestas en el mes de julio.  quedo a la espera de su respuesta.  muchas gracias. atte. ",6,2,10,2,2017,0,4,1,1,1,3,6,309,0.0,0.8058252427184466,6,54,27,0.8333333333333334,0.022653721682847898,6,0,Cursadas
no me llego el mail para continuar con la inscripcion. ,3,3,11,2,2018,2,3,0,0,1,0,6,55,0.0,0.8,0,11,8,1.0,0.01818181818181818,1,0,Requisitos de Ingreso
no me llego el mail para continuar con la inscripcion. ,3,3,11,2,2018,2,3,0,0,1,0,6,55,0.0,0.8,0,11,8,1.0,0.01818181818181818,1,0,Cambio de Carrera
"hola buen dia, mi consulta es porque al querer ingresar a la inscripcion de la cursada, me aprece un cartel que dice que no cumplo con los requisios desde ya muchas gracias, saludos coordiales ",0,3,2,1,2019,0,4,0,0,1,4,4,193,0.0,0.8082901554404145,0,35,20,0.9428571428571428,0.015544041450777204,1,0,Boleto Universitario
"hola buen dia, mi consulta es porque al querer ingresar a la inscripcion de la cursada, me aprece un cartel que dice que no cumplo con los requisios desde ya muchas gracias, saludos coordiales ",0,3,2,1,2019,0,4,0,0,1,4,4,193,0.0,0.8082901554404145,0,35,20,0.9428571428571428,0.015544041450777204,1,0,Ingreso a la Universidad
"buenas tardes, me olvide la contraseña y no me llega el mail para poder cambiarlo.  desde ya muchas gracias. saludos ",3,2,12,2,2017,2,3,1,1,1,25,6,117,0.0,0.7948717948717948,0,22,11,0.9090909090909092,0.02564102564102564,2,0,Cursadas
hola queria saber porque motivo me sale error de credenciales al ingresar ms datos para el boleto estudiantil saludos  ,0,1,3,1,2018,1,1,3,1,1,27,8,119,0.0,0.8319327731092437,0,21,10,0.9523809523809524,0.0,1,0,Ingreso a la Universidad
hola queria saber porque motivo me sale error de credenciales al ingresar ms datos para el boleto estudiantil saludos  ,0,1,3,1,2018,1,1,3,1,1,27,8,119,0.0,0.8319327731092437,0,21,10,0.9523809523809524,0.0,1,0,Requisitos de Ingreso
"buenas tardes. mi consulta en este dia es porque la sube no me cargan mas. si entro en la pagina me dice que soy beneficiaria, pero sin embargo voy a consultar en el aparato de la sube y me dice que no soy beneficiaria de ningun plan . gracias... ",3,2,3,1,2019,0,8,4,1,1,3,4,247,0.0,0.7732793522267206,0,50,36,0.76,0.02834008097165992,6,0,Pedido de Certificados
no me llegan los mail ,2,1,11,2,2017,0,5,0,0,1,54,6,22,0.0,0.7727272727272727,0,6,5,1.0,0.0,1,0,Boleto Universitario
no me llegan los mail ,2,1,11,2,2017,0,5,0,0,1,54,6,22,0.0,0.7727272727272727,0,6,5,1.0,0.0,1,0,Reincorporación
"no puedo acceder, probablemente sea por poner una contraseña incorrecta. me dice &quot;estudiante inhabilitado&quot;. gracias. ",3,4,11,2,2016,0,5,3,1,1,27,4,127,0.0,0.8188976377952756,0,16,7,1.0,0.047244094488188976,3,0,Ingreso a la Universidad
"no puedo acceder, probablemente sea por poner una contraseña incorrecta. me dice &quot;estudiante inhabilitado&quot;. gracias. ",3,4,11,2,2016,0,5,3,1,1,27,4,127,0.0,0.8188976377952756,0,16,7,1.0,0.047244094488188976,3,0,Boleto Universitario
buenos dias. quisiera saber el estado de mi solicitud para acceder al boleto estudiantil. fue enviada el dia viernes 22/3 y no recibi noticias aún de como proceder. desde ya muchas gracias. micaela ,1,1,4,1,2019,1,4,4,1,1,3,6,198,0.0,0.7929292929292929,1,34,16,0.9411764705882352,0.020202020202020204,4,0,Requisitos de Ingreso
buenos dias. quisiera saber el estado de mi solicitud para acceder al boleto estudiantil. fue enviada el dia viernes 22/3 y no recibi noticias aún de como proceder. desde ya muchas gracias. micaela ,1,1,4,1,2019,1,4,4,1,1,3,6,198,0.0,0.7929292929292929,1,34,16,0.9411764705882352,0.020202020202020204,4,0,Cursadas
buenas tardes no sé cómo averiguar mi número de legajo . ya pasaron más de 24 hs y todavía no lo hice  ,1,3,2,1,2017,1,6,0,0,1,5,6,103,0.0,0.7475728155339806,5,24,17,0.875,0.009708737864077669,1,0,Reincorporación
buenas tardes no sé cómo averiguar mi número de legajo . ya pasaron más de 24 hs y todavía no lo hice  ,1,3,2,1,2017,1,6,0,0,1,5,6,103,0.0,0.7475728155339806,5,24,17,0.875,0.009708737864077669,1,0,Boleto Universitario
hola puede ser que no esten cargadas algunas promociones? por que me aparecen regulares.. y ya las promocione ,1,1,9,2,2018,2,6,4,1,1,43,6,110,0.0,0.8090909090909091,0,19,11,0.9473684210526316,0.027272727272727268,2,0,Pedido de Certificados
"buenas noches, queria saber como anotarme para el taller de resolucion de problemas, espero prontas respuestas. gracias jesica ",2,5,5,1,2017,3,6,3,1,1,3,4,127,0.0,0.8346456692913385,0,19,6,0.9473684210526316,0.023622047244094488,1,0,Ingreso a la Universidad
"buenas noches, queria saber como anotarme para el taller de resolucion de problemas, espero prontas respuestas. gracias jesica ",2,5,5,1,2017,3,6,3,1,1,3,4,127,0.0,0.8346456692913385,0,19,6,0.9473684210526316,0.023622047244094488,1,0,Boleto Universitario
no me asigna el credito mensual del mes de abril ,2,2,4,1,2018,2,5,3,1,1,54,6,49,0.0,0.7959183673469388,0,11,7,1.0,0.0,1,0,Ingreso a la Universidad
hola yo hice el tramite de la sube hace 1 mes y la registre...pero me la robaron hace 1 semana y ahora tengo otra...y como ya empezaron a hacer lo de entregar los 500$ ala sube a mi no me va a llegar... q deberia hacer? ,1,2,4,1,2019,1,7,4,1,1,5,4,220,0.0,0.7181818181818181,0,47,34,0.7872340425531915,0.045454545454545456,9,0,Boleto Universitario
"hola, esty interesado en estudiar enfermeria el año proximo. igrese ala pag reagistre el 1 paso de los 3 con dicha informacion y a mi correo no me a llegado nada para seguir tramitando el registro...  discupen las molestias ocasionadas... gracias ",3,2,12,2,2017,3,8,0,0,1,52,6,247,0.0,0.7894736842105263,0,43,25,0.9069767441860463,0.032388663967611336,7,0,Ingreso a la Universidad
"hola, esty interesado en estudiar enfermeria el año proximo. igrese ala pag reagistre el 1 paso de los 3 con dicha informacion y a mi correo no me a llegado nada para seguir tramitando el registro...  discupen las molestias ocasionadas... gracias ",3,2,12,2,2017,3,8,0,0,1,52,6,247,0.0,0.7894736842105263,0,43,25,0.9069767441860463,0.032388663967611336,7,0,Boleto Universitario
"buenas tardes!  realice el trámite para el boleto estudiantil provincial. y todavía no pude obtener el beneficio. desde la página de la universidad me figura que ya está el beneficio. pero en las terminales donde debo pasar la sube para obtener el beneficio me figura que no tengo tal beneficio. si me podrían decir a que se debe esto, desde ya muchas gracias. ",3,4,3,1,2019,2,2,4,1,1,5,4,361,0.0,0.8033240997229917,5,65,36,0.7076923076923077,0.01939058171745152,5,0,Cursadas
"buenos días, tenia mi sube con el beneficio la di de baja porque se rompió, ahora habilite una nueva y no puedo obtener el saldo que me quedo en la anterior sube. y tampoco tengo el beneficio  ",5,3,8,2,2019,1,3,2,1,1,5,11,193,0.0,0.7875647668393783,2,39,21,0.8461538461538461,0.015544041450777204,1,0,Pedido de Certificados
"buenos días, tenia mi sube con el beneficio la di de baja porque se rompió, ahora habilite una nueva y no puedo obtener el saldo que me quedo en la anterior sube. y tampoco tengo el beneficio  ",5,3,8,2,2019,1,3,2,1,1,5,11,193,0.0,0.7875647668393783,2,39,21,0.8461538461538461,0.015544041450777204,1,0,Exámenes
"buenas el otro día fui a la universidad para saber que materias aprobé, trate de ingresar por la web pero no me permite, mi numero de legajo 70325, mi dni 26339050 como tendría que proceder de ahora en mas? desde ya muchas gracias. ",0,2,7,1,2016,3,1,1,1,1,3,4,232,0.0,0.7370689655172413,3,44,26,0.8863636363636364,0.02155172413793104,1,0,Consulta por Equivalencias
"buenas el otro día fui a la universidad para saber que materias aprobé, trate de ingresar por la web pero no me permite, mi numero de legajo 70325, mi dni 26339050 como tendría que proceder de ahora en mas? desde ya muchas gracias. ",0,2,7,1,2016,3,1,1,1,1,3,4,232,0.0,0.7370689655172413,3,44,26,0.8863636363636364,0.02155172413793104,1,0,Boleto Universitario
"quisiera saber porque no figuro ,aún, como aspirante a cursar la carrera en la que me inscribí.                             gracias   ",0,1,12,2,2018,3,1,0,0,1,4,4,134,0.0,0.6194029850746269,2,49,39,0.3673469387755102,0.022388059701492536,1,0,Ingreso a la Universidad
hola buenas tardes queria consultar porque yo inicie por la web la inscripcion y me dice que me reenviaron al correo para seguir con los siguientes pasos pero no me llego nada...queria saber que tengo que hacer..si acercarme a la universidad o esperar...desde ya muchas gracias... ,0,1,12,2,2017,2,1,0,0,1,0,6,281,0.0,0.797153024911032,0,47,25,0.8723404255319149,0.03914590747330962,11,0,Boleto Universitario
hola buenas tardes queria consultar porque yo inicie por la web la inscripcion y me dice que me reenviaron al correo para seguir con los siguientes pasos pero no me llego nada...queria saber que tengo que hacer..si acercarme a la universidad o esperar...desde ya muchas gracias... ,0,1,12,2,2017,2,1,0,0,1,0,6,281,0.0,0.797153024911032,0,47,25,0.8723404255319149,0.03914590747330962,11,0,Pedido de Certificados
"tengo un problema, no puedo ingresar al sistema por la falta de una vacuna, la cual ya tengo puesta, será posible que entregue los papeles el día 5/8? ",1,5,7,1,2019,1,7,4,1,1,52,4,151,0.0,0.7682119205298014,2,29,17,0.9310344827586208,0.026490066225165563,1,0,Boleto Universitario
comprobante de materias aprobadas  ,2,1,4,1,2019,0,6,3,1,1,3,4,35,0.0,0.8571428571428571,0,6,3,0.8333333333333334,0.0,1,0,Ingreso a la Universidad
comprobante de materias aprobadas  ,2,1,4,1,2019,0,6,3,1,1,3,4,35,0.0,0.8571428571428571,0,6,3,0.8333333333333334,0.0,1,0,Problemas con la Clave
no me llega el mail con el link para inscribirme en las materias ,5,3,2,1,2018,2,5,0,0,0,17,8,65,0.0,0.8,0,14,11,0.9285714285714286,0.0,1,0,Problemas con la Clave
no me llega el mail con el link para inscribirme en las materias ,5,3,2,1,2018,2,5,0,0,0,17,8,65,0.0,0.8,0,14,11,0.9285714285714286,0.0,1,0,Requisitos de Ingreso
hola buenas noches necesito saber   que hice mal al llenar los formularios de preincripcion ya que quise ingresar a acceso para aspirantes y dice que no estoy registrada ,2,3,5,1,2017,2,1,1,1,1,55,4,170,0.0,0.8235294117647058,0,31,18,0.8709677419354839,0.0,1,0,Boleto Universitario
hola buenas noches necesito saber   que hice mal al llenar los formularios de preincripcion ya que quise ingresar a acceso para aspirantes y dice que no estoy registrada ,2,3,5,1,2017,2,1,1,1,1,55,4,170,0.0,0.8235294117647058,0,31,18,0.8709677419354839,0.0,1,0,Reincorporación
hola. necesito restablecer la contraseña y no me llega el mail. quisiera saber qué puedo hacer. gracias ,2,1,8,2,2018,2,4,3,1,1,26,6,104,0.0,0.8076923076923077,1,18,7,1.0,0.02884615384615385,3,0,Pedido de Certificados
hola. necesito restablecer la contraseña y no me llega el mail. quisiera saber qué puedo hacer. gracias ,2,1,8,2,2018,2,4,3,1,1,26,6,104,0.0,0.8076923076923077,1,18,7,1.0,0.02884615384615385,3,0,Ingreso a la Universidad
"quisiera restablecer mi contraseña, y no me llegan el correo por parte de la universidad ",1,1,8,2,2018,3,4,2,1,1,3,6,89,0.0,0.8202247191011236,0,16,9,1.0,0.011235955056179777,1,0,Ingreso a la Universidad
"buenas tardes, me comunico con ustedes para encontrarle la solucion a mi problema. no puedo ingresar a la cuenta de mi legajo, porque olvide mi contraseña. mande la solicitud para que me llegue el email y recuperar mi clave, pero todavia no me llego el email. ",2,4,6,1,2018,2,4,3,1,1,54,6,260,0.0,0.8,0,47,24,0.7659574468085106,0.02307692307692308,3,0,Situación Académica
"buenas tardes, me comunico con ustedes para encontrarle la solucion a mi problema. no puedo ingresar a la cuenta de mi legajo, porque olvide mi contraseña. mande la solicitud para que me llegue el email y recuperar mi clave, pero todavia no me llego el email. ",2,4,6,1,2018,2,4,3,1,1,54,6,260,0.0,0.8,0,47,24,0.7659574468085106,0.02307692307692308,3,0,Requisitos de Ingreso
"hola buenas tardes, yo perdí una tarjeta sube donde tenía el beneficio del boleto estudiantil provincial, ya registré una nueva como hago para volver a tener el beneficio? ",1,2,8,2,2019,1,7,4,1,1,25,11,172,0.0,0.8197674418604651,3,29,14,0.9310344827586208,0.017441860465116282,1,0,Cursadas
"hola buenas tardes, yo perdí una tarjeta sube donde tenía el beneficio del boleto estudiantil provincial, ya registré una nueva como hago para volver a tener el beneficio? ",1,2,8,2,2019,1,7,4,1,1,25,11,172,0.0,0.8197674418604651,3,29,14,0.9310344827586208,0.017441860465116282,1,0,Ingreso a la Universidad
"buen día! quiero anotarme en las cursadas del 1er cuatrimestre y no me deja, dice que no tengo los requisitos para poder anotarme. quisiera ver si me podrían ayudar! muchas gracias. julián. ",0,3,2,1,2019,1,7,0,0,1,25,6,190,0.0,0.7947368421052632,3,33,18,0.9393939393939394,0.03157894736842105,3,0,Requisitos de Ingreso
buenas. queria consultar porque en este año que comenzo aun no se me han acreditado los beneficios de precarga por boleto estudiantil? intente apoyar la sube en varios centros de carga pero no me dice que no tengo disponible ninguna recarga. y en la plataforma de la universidad me dice que cuento con dicho beneficio. si podrian ayudarme o informarme estaria agradecido. ,1,1,4,1,2018,1,3,3,1,1,27,4,372,0.0,0.8198924731182796,0,63,34,0.7936507936507936,0.013440860215053764,4,0,Exámenes
buenas. queria consultar porque en este año que comenzo aun no se me han acreditado los beneficios de precarga por boleto estudiantil? intente apoyar la sube en varios centros de carga pero no me dice que no tengo disponible ninguna recarga. y en la plataforma de la universidad me dice que cuento con dicho beneficio. si podrian ayudarme o informarme estaria agradecido. ,1,1,4,1,2018,1,3,3,1,1,27,4,372,0.0,0.8198924731182796,0,63,34,0.7936507936507936,0.013440860215053764,4,0,Ingreso a la Universidad
"hola quería consultar sobre la carga en la sube, de este año no obtuve ninguna carga, fui a hablar y me dijeron que en este mes de abril la iba a tener y todavía no la obtengo! querría saber porque? y si lo van acreditar? muchas gracias saludos ",0,4,4,1,2018,3,4,2,1,1,2,4,245,0.0,0.7836734693877551,3,49,28,0.7959183673469388,0.020408163265306117,1,0,Consulta por Legajo
 ha pasado casi un mes que hice mi trámite del boleto y no he tenido respuesta ,0,4,5,1,2019,3,8,4,1,1,52,4,79,0.0,0.7848101265822784,1,18,13,0.9444444444444444,0.0,1,0,Problemas con la Clave
 ha pasado casi un mes que hice mi trámite del boleto y no he tenido respuesta ,0,4,5,1,2019,3,8,4,1,1,52,4,79,0.0,0.7848101265822784,1,18,13,0.9444444444444444,0.0,1,0,Requisitos de Ingreso
hola que tal! quería saber cual seria el motivo de la cual no me estarían acreditando el subsidio de la sube ya que me es de gran ayuda así como a muchos de los demás! desde ya muchas gracias y saludos cordiales! ,2,3,4,1,2018,1,3,2,1,1,43,11,213,0.0,0.7887323943661971,4,43,28,0.7906976744186046,0.014084507042253518,1,0,Cursadas
hola que tal! quería saber cual seria el motivo de la cual no me estarían acreditando el subsidio de la sube ya que me es de gran ayuda así como a muchos de los demás! desde ya muchas gracias y saludos cordiales! ,2,3,4,1,2018,1,3,2,1,1,43,11,213,0.0,0.7887323943661971,4,43,28,0.7906976744186046,0.014084507042253518,1,0,Ingreso a la Universidad
"mi nombre es hernan almiron y queria solicitar el titulo de tecnico universitario en comercio exterior y aduanas , cuando lo solicito desde la pagina no me deja poner el titulo entero solo logro escribir &quot;tecnico en comercio exterior&quot; , sin el termino aduanas, quiero saber si poniendo solamente &quot;técnico en comercio exterior&quot; esta bien o tengo que acercarme a la universidad?  desde ya gracias ",0,4,12,2,2015,1,4,2,1,1,24,4,415,0.0,0.8120481927710843,1,67,30,0.8059701492537313,0.01927710843373494,1,0,Ingreso a la Universidad
"mi nombre es hernan almiron y queria solicitar el titulo de tecnico universitario en comercio exterior y aduanas , cuando lo solicito desde la pagina no me deja poner el titulo entero solo logro escribir &quot;tecnico en comercio exterior&quot; , sin el termino aduanas, quiero saber si poniendo solamente &quot;técnico en comercio exterior&quot; esta bien o tengo que acercarme a la universidad?  desde ya gracias ",0,4,12,2,2015,1,4,2,1,1,24,4,415,0.0,0.8120481927710843,1,67,30,0.8059701492537313,0.01927710843373494,1,0,Ingreso a la Universidad
hola buen dia cuando entro al perfil de aspirante solo me aparecen 4 opciones y yo queria imprimir la constacia de alumno para ser beneficiaro del descuento de estudiante que hay en mi ciudad. ,5,4,2,1,2019,0,3,4,1,0,2,4,193,0.0,0.8134715025906736,0,35,21,0.9428571428571428,0.0051813471502590676,1,0,Boleto Universitario
hola buen dia cuando entro al perfil de aspirante solo me aparecen 4 opciones y yo queria imprimir la constacia de alumno para ser beneficiaro del descuento de estudiante que hay en mi ciudad. ,5,4,2,1,2019,0,3,4,1,0,2,4,193,0.0,0.8134715025906736,0,35,21,0.9428571428571428,0.0051813471502590676,1,0,Cambio de Comisión
"hola queria consultar si me aceptaron las equivalencias de tres materias que realice en otra universidad , ya entregue todos los papeles pero todavia no me confirmaron si me las aceptaron ya que en poco tiempo me tengo que anotar en las materias del segundo cuatrimestre.muchas gracias. ",1,1,8,2,2016,3,5,2,1,1,27,6,287,0.0,0.8257839721254355,0,48,28,0.7291666666666666,0.010452961672473868,2,0,Boleto Universitario
"hola queria consultar si me aceptaron las equivalencias de tres materias que realice en otra universidad , ya entregue todos los papeles pero todavia no me confirmaron si me las aceptaron ya que en poco tiempo me tengo que anotar en las materias del segundo cuatrimestre.muchas gracias. ",1,1,8,2,2016,3,5,2,1,1,27,6,287,0.0,0.8257839721254355,0,48,28,0.7291666666666666,0.010452961672473868,2,0,Boleto Universitario
"en sistema me muestra que tengo beneficio adjudicado para boleto provincial univ , pero no se como hacer para que se acredite en mi sube ",3,5,5,1,2019,0,1,4,1,1,4,4,137,0.0,0.8102189781021898,0,26,17,0.8461538461538461,0.007299270072992701,1,0,Ingreso a la Universidad
"en sistema me muestra que tengo beneficio adjudicado para boleto provincial univ , pero no se como hacer para que se acredite en mi sube ",3,5,5,1,2019,0,1,4,1,1,4,4,137,0.0,0.8102189781021898,0,26,17,0.8461538461538461,0.007299270072992701,1,0,Boleto Universitario
"buenos días, yo me inscribí y no me llega ningún e-mail.   como hago para poder hacer la inscripción y poder comenzar este cuatrimestre.   muchas gracias    ",4,1,4,1,2018,0,5,0,0,0,5,4,157,0.0,0.7707006369426752,4,33,19,0.696969696969697,0.01910828025477707,2,0,Boleto Universitario
"buenos días, yo me inscribí y no me llega ningún e-mail.   como hago para poder hacer la inscripción y poder comenzar este cuatrimestre.   muchas gracias    ",4,1,4,1,2018,0,5,0,0,0,5,4,157,0.0,0.7707006369426752,4,33,19,0.696969696969697,0.01910828025477707,2,0,Requisitos de Ingreso
hola buenos días.  yo cambié de sube ya esta registrada a mi nombre y quería saber como tenía que hacer para cambiar el número para que me puedan otorgar el beneficio  ,3,2,5,1,2019,1,8,4,1,1,5,4,168,0.0,0.7976190476190477,5,34,20,0.8529411764705882,0.005952380952380952,1,0,Ingreso a la Universidad
hola buenos días.  yo cambié de sube ya esta registrada a mi nombre y quería saber como tenía que hacer para cambiar el número para que me puedan otorgar el beneficio  ,3,2,5,1,2019,1,8,4,1,1,5,4,168,0.0,0.7976190476190477,5,34,20,0.8529411764705882,0.005952380952380952,1,0,Boleto Universitario
"buenas tardes!   he olvidado mi n&deg; de legajo, me lo podrían facilitar?  desde ya muchísimas gracias! ",0,3,12,2,2016,1,5,0,0,1,29,6,105,0.0,0.7619047619047619,2,20,10,0.85,0.047619047619047616,1,0,Problemas con la Clave
