Consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura
quería consultar &iquest; esta disponible la   inscripción a materias de carrera de grado durante el mes de febrero?. ,4,2,2,1,2016,1,6,0,0,1,54,4,118,0.0,0.7966101694915254,2,21,11,0.8095238095238095,0.025423728813559324,1,0
me inscribi por la wep! y no me llega ningun correo electronico de confirmacion. ,3,4,2,1,2018,2,8,0,0,1,25,4,81,0.0,0.8024691358024691,0,15,9,0.9333333333333332,0.02469135802469136,1,0
"olvidé mi clave, reestableci la misma pero no me llega el correo con la nueva clave. gracias  ",4,3,6,1,2019,0,2,2,1,1,54,6,94,0.0,0.7872340425531915,1,19,10,0.8947368421052632,0.02127659574468085,1,0
"hola buenos días , tienen algún día específico para la acreditación de los beneficios de la sube ?  ",3,1,4,1,2018,0,7,4,1,1,54,6,100,0.0,0.79,5,20,14,0.85,0.02,1,0
quiero saber sobre la inscripcion ,5,3,2,1,2017,3,1,0,0,1,0,8,34,0.0,0.8529411764705882,0,6,2,1.0,0.0,1,0
"buen día, queria saber como quedan los horarios para la asignatura teoria y tecnica impositiva i en la sede lujan, ya que el horario cuando me inscribi era los lunes de 19 a 22 hs y los jueves de 18 a 21 hs pero ayer el profesor alvarez comento que el horario de los jueves se modifico. por favor necesito confirmar los horarios. muchas gracias.  ",1,3,8,2,2017,0,2,3,1,1,54,4,347,0.0,0.7723342939481268,1,67,41,0.7611940298507462,0.01440922190201729,3,0
"hola! hice todo para obtener el boleto provincial y cuando fui a la terminal de la unlu no tengo la plata acreditada, ya hace varios meses! no entiendo porque, y cuando intento hacer de nuevo el tramite me dice que ya tengo el beneficio! si pudieran ayudarme se los agradezco! ",6,4,4,1,2019,1,3,1,1,0,1,4,277,0.0,0.7978339350180506,0,51,28,0.8039215686274509,0.021660649819494584,1,0
hola. necesito un certificado de materias aprobadas. podria tenerlo para la semana que viene? saludos cordiales. ,4,1,9,2,2017,2,2,1,1,1,4,13,113,0.0,0.8230088495575221,0,17,6,1.0,0.035398230088495575,3,0
quiero restablecer mi contraseña pero no llega el mail a mi correo que es este mismo quiero anotarme en los finales muchas gracias ! ,3,1,12,2,2018,1,1,3,1,1,54,6,133,0.0,0.8120300751879699,0,25,14,0.92,0.0075187969924812035,1,0
"buenos días, no puedo ingresar a mi perfil, ya solicite un restablecimiento de clave pero no recibí ningún mail. necesitaría por favor ver la forma de solucionarlo antes del cierre de inscripciones para finales en septiembre. muchas gracias ",3,2,9,2,2018,0,3,3,1,1,54,6,241,0.0,0.8257261410788381,4,39,17,0.9230769230769232,0.016597510373443983,2,0
"hola quisiera saber que tengo que hacer si al intentar restablecer mi contraseña para acceder a la plataforma, no me llega el mail para seguir con el procedimiento muchas gracias ",0,3,5,1,2018,2,6,0,0,0,54,6,179,0.0,0.8268156424581006,0,31,17,0.9032258064516128,0.00558659217877095,1,0
"hola buenas tardes! una pregunta, entro al acceso de aspirantes y cuando me pide que ponga el dni me dice que el numero no corresponde a ningún aspirante. se actualiza el año que viene o como es el asunto? desde y muchas gracias!!   ",1,3,12,2,2018,3,8,0,0,1,5,4,233,0.0,0.7811158798283262,1,46,28,0.8043478260869565,0.02575107296137339,1,0
"buenaa  quisiera asesoramiento de coml inscribirme a las materiaa ya q desde la pagina no puedo,me  indica que la fecha ha finalizado. gracias ",1,1,2,1,2018,3,5,0,0,0,3,11,143,0.0,0.8111888111888111,0,26,14,0.8846153846153846,0.013986013986013986,1,0
hola !  solo quería saber como sabe uno si ya no hay posibilidades de rendir final y hay que recursar una materia.  en febrero era mi 5to llamado a rendir final de intro y por cuestiones laborales no pude presentarme.  en mi situación académica aparece como regular todavía.  gracias ,5,3,2,1,2019,3,2,3,1,1,5,4,284,0.0,0.7957746478873241,4,54,33,0.7592592592592593,0.014084507042253518,3,0
"mi consulta es por la inscripcion a la carrera de lic. en informacion ambiental. yo soy de mendoza y tengo rendido hasta 3 año de la lic. en psicologia;  estare llegando a campana en diez dias. quiero empezar este cuatrimestre, se que las incripciones son hasta el 23/2 , y ya comence el tramite de la pre inscripcion on line. &iquest; que posibilidades tengo de comenzar este ciclo? saluda atte ",1,3,2,1,2018,3,3,0,0,1,0,4,396,0.0,0.7803030303030303,0,72,43,0.7361111111111112,0.02525252525252525,5,0
quería saber cuando van a dar el resultado sobre el boleto estudiantil? ,1,2,10,2,2019,0,5,0,0,0,0,8,72,0.0,0.8194444444444444,1,13,6,0.9230769230769232,0.013888888888888888,1,0
"quiero ingresar al perfil-estudiante, ingreso el legajo y clave y aparece: &quot;el estudiante no cumple con los requisitos&quot;. esto me impide la inscripción vía web para exámenes finales. esto se puede solucionar, me podría indicar los pasos a seguir? ",6,3,6,1,2016,3,1,1,1,1,54,13,256,0.0,0.8046875,4,40,19,0.9,0.03125,2,0
"estimados, para poder gestionar el certificado de materias rendidas por porcentaje, hay alguna posibilidad que se gestione via web como el de alumno regular? muchas gracias!  patricia  ",4,3,11,2,2016,1,1,1,1,1,4,4,185,0.0,0.8216216216216217,0,30,15,0.8666666666666667,0.021621621621621626,1,0
hola mi consulta es por el motivo de que quiero generar el boleto estudiantil y me figura que este usuario ya posee un beneficio.saludos ,3,4,3,1,2019,2,3,3,1,1,54,4,137,0.0,0.8175182481751825,0,25,15,0.92,0.007299270072992701,1,0
quiero anotarme pero no me llega el mail y por lo tanto no puedo seguir con el tramite de ingreso ,0,4,5,1,2018,3,4,0,0,1,0,4,98,0.0,0.7959183673469388,0,21,13,0.9047619047619048,0.0,1,0
hace aproximadamente 1 mes que completé el formulario para poder obtener el boleto estudiantil y nunca obtuve respuesta ,0,4,8,2,2019,3,8,4,1,1,54,4,120,0.0,0.8416666666666667,1,19,9,0.9473684210526316,0.0,1,0
no puedo entrar a mi usuario para consular las fechas de exámenes. me dice que mi documento es incorrecto  ,1,2,12,2,2016,3,5,3,1,1,5,4,107,0.0,0.8037383177570093,1,21,13,0.9047619047619048,0.009345794392523364,1,0
"hola, quería consultarles por la reinscripción en la carrera de ing. agronómica. y también por las materias aprobadas si las tengo que recursar (taller de agronomia y elementos de matemática) gracias, saludos ",5,2,2,1,2018,3,2,1,1,1,2,13,209,0.0,0.8181818181818182,5,33,16,0.8181818181818182,0.019138755980861243,2,0
no he recibido los pasos a seguir en mi correo electrónico qu debo hacer ,2,2,11,2,2017,3,2,0,0,1,5,4,73,0.0,0.8082191780821918,1,15,9,1.0,0.0,1,0
"a quien corresponda,  soy graduada del profesorado en historia por la unlu en el año 2016. me inscribí para cursar la licenciatura en historia pero por problemas personales me fue imposible cursar. hay posibilidades de reinscribirme y comenzar a cursar durante el primer cuatrimestre de 2018?  muchas gracias ",6,2,2,1,2018,3,3,0,0,0,6,6,309,0.0,0.7993527508090615,1,51,27,0.7647058823529411,0.012944983818770229,2,0
necesitaria saber mi aituacion academica ,2,3,12,2,2015,0,8,2,1,1,5,4,41,0.0,0.8780487804878049,0,6,2,1.0,0.0,1,0
&iquest;cómo me inscribo en las materias de una carrera? ,5,4,2,1,2019,1,1,1,1,1,4,4,57,0.0,0.7894736842105263,1,10,6,1.0,0.03508771929824561,1,0
"hola buenas tardes.. hace un rato me contestaron. me dijeron q debo presentar constancia de vacunacion . yo ya lo presente a lo de las vacunas mas la constancia que mi titulo esta en tramite, presente los papeles el martes pasado seria de esta semana.. presente lo q me habian pedido.. o tarda el sistema para que yo pueda ingresarlo..?? en la pagina unlu ",3,4,2,1,2017,2,4,3,1,1,52,4,356,0.0,0.7837078651685393,0,65,39,0.7538461538461538,0.03651685393258427,10,0
"hola tengo una consulta , si desaprobé un final y se me vencen las oportunidades para volver a rendirlo , me queda la nota de ese final?  ",3,3,6,1,2019,2,7,4,1,1,1,6,138,0.0,0.7753623188405797,1,29,19,0.8965517241379308,0.021739130434782608,1,0
"buenas tardes!   he olvidado mi n&deg; de legajo, me lo podrían facilitar?  desde ya muchísimas gracias! ",0,3,12,2,2016,1,5,0,0,1,29,6,105,0.0,0.7619047619047619,2,20,10,0.85,0.047619047619047616,1,0
"buenos dias les envio esta consulta debido a que hace unos días que intento entrar a mi usuario pero no logro hacerlo, actualicé mi clave pero ni siquiera haciendo eso pude entrar. quisiera saber si hay una solución o a qué se debe esto. muchas gracias, espero su respuesta. ",5,5,7,1,2017,0,5,2,1,0,43,13,275,0.0,0.8036363636363636,4,50,28,0.9,0.01818181818181818,3,0
buenos dias como hago para poder inscribirme en materias  ,0,3,2,1,2018,1,4,1,1,1,14,6,58,0.0,0.8275862068965517,0,11,7,0.9090909090909092,0.0,1,0
"buenos dias,  me remito a ustedes para consultar el por qué de que no pueda hacer la solicitud de título correspondiente a técnica universitaria en comercio exterior y aduanas.  por favor si podrían darme una respuesta a la brevedad ya que necesitaría con suma urgencia la certificación.  gracias. ",2,5,12,2,2015,0,4,2,1,1,27,4,298,0.0,0.8154362416107382,6,52,28,0.8076923076923077,0.013422818791946308,3,0
hola quería saber porque no puedo realizar el tramite de la sube?? desde ya muchas gracias. ,0,1,3,1,2018,0,2,1,1,0,1,6,92,0.0,0.7934782608695652,1,17,7,1.0,0.03260869565217391,1,0
"hola...he solicitado el boleto estudiantil provincial hace un tiempo y no se donde ver en que situación esta el trámite, pues no me ha llegado ninguna información de carga o demás al respecto. gracias ",4,1,6,1,2019,1,2,3,1,1,5,13,201,0.0,0.8059701492537313,4,35,19,0.9428571428571428,0.02487562189054726,4,0
"hola, queria saber si me podian enviar el formulario porque se me extravio la sube con el boleto estudiantil. ",1,1,10,2,2019,1,6,3,1,0,27,4,110,0.0,0.8090909090909091,0,20,10,0.9,0.01818181818181818,1,0
"hola, soy cruz elizabeth, aspirante a ingenieria agronomica y queria saber por que no puedo inscribirme para cursar las materias??  ",6,4,2,1,2019,1,7,0,0,0,2,4,132,0.0,0.8106060606060606,0,22,11,0.9545454545454546,0.030303030303030307,1,0
por que no me puedo inscribir en las materias  ,0,3,2,1,2019,2,8,0,0,1,27,4,47,0.0,0.7872340425531915,0,11,8,0.9090909090909092,0.0,1,0
me dice que ya tengo el beneficio de la sube y no lo tengo quiero saber en que situación estoy  ,1,2,4,1,2019,3,8,4,1,1,3,6,96,0.0,0.78125,1,22,15,0.8636363636363636,0.0,1,0
"hola, quería saber cual era el estado de mi titulo en tramite el cual se encuentra en el libro de titulos universitarios, n&deg;22 folio n&deg;51  registro n&deg;201.  desde ya, muchas gracias. ",4,2,7,1,2019,3,5,2,1,0,54,6,194,0.0,0.7371134020618557,1,34,16,0.7941176470588235,0.041237113402061855,2,0
quiero iniciar la incripcion on line para la carrera de licenciado enfermeria y no me envia el email para continuar la incripcion ,3,4,10,2,2017,3,3,0,0,0,0,6,130,0.0,0.8307692307692308,0,23,13,0.8260869565217391,0.0,1,0
"buen dia pedi la solicitud de reinscripcion en la universidad,aproximadamente hace dos meses,con respuesta inmediata y positiva.el problema es que cuando quiero ingresar desde el perfil de estudiante me sale una leyenda que dice que no me encuentro regular en la carrera. ",2,5,6,1,2016,0,2,1,1,1,5,6,272,0.0,0.8308823529411765,0,43,25,0.8372093023255814,0.014705882352941175,2,0
"buenas tardes, cuando quise incribirme a las asigaturas no lo pude hacer, ya que me aparece el siguiente cartel: &quot;ud no cumple con los requisitos necesarios para confirmar su inscripción a cursadas&quot; quisiera saber el motivo.  saluda atte. veronica albornoz. ",0,3,2,1,2019,2,3,0,0,1,26,4,268,0.0,0.8097014925373134,1,42,18,0.9047619047619048,0.02985074626865672,3,0
hola no me llega el mail para inscribirme en las materias. ya intente varias veces pero ahora me dice que ya realize muchos intentos. ,5,2,2,1,2018,1,6,0,0,1,27,4,134,0.0,0.8059701492537313,0,25,15,0.92,0.01492537313432836,2,0
"quisiera saber porque razon no me permite la plataforma inscribirme  a las asignaturas, ya que me dice que no cumplo con los requisitos, quisiera saber que es lo que estaria adeudando para poder hacer efectiva la inscripcion. desde ya muchas gracias! ",0,3,2,1,2019,3,8,0,0,1,25,4,251,0.0,0.8167330677290837,0,43,22,0.7674418604651163,0.01593625498007968,1,0
"hola, buenas tardes, el asunto por el cual les mando este mensaje, es porque según el punto de carga sube que hay en el establecimiento dice que yo &quot;no poseo el beneficio social&quot;, pero hice el tramite a través de la pagina de la unlu, cuando quiero confirmar que yo supuestamente no poseo beneficio social y realizar otra vez el tramite, la pagina me dice lo siguiente &quot;la persona ya tiene un beneficio asignado&quot;. desde ya muchas gracias. ",3,2,3,1,2019,2,8,4,1,1,2,6,459,0.0,0.7952069716775599,2,79,41,0.7594936708860759,0.026143790849673203,2,0
quiero hacer el cambio de carreta. de comercio a administracion. y empezar en el segundo cuatrimestre. este año no curse directamente ,2,2,6,1,2018,3,6,0,0,1,27,4,134,0.0,0.8208955223880597,0,22,11,0.9090909090909092,0.022388059701492536,3,0
"hola buenas tardes, ya me prescribiere pero no me llego ningún mail.  espero su respuesta, gracias. ",3,3,12,2,2017,2,4,0,0,1,3,6,100,0.0,0.79,1,18,9,0.8888888888888888,0.04,2,0
"buenas tardes!! que tramite debo realizar para  pedir porcentaje de materias aprobadas , sin aplazo para el ingreso ala docencia?   gracias..  ",1,1,9,2,2016,1,1,1,1,1,5,6,143,0.0,0.7832167832167832,0,26,14,0.8076923076923077,0.04195804195804196,2,0
"buenas tardes, yo tengo dudas si realice bien mi tramite de solicitud de titulo, ya que no me llego ningún mail de rechazo ni aceptación del mismo, como puedo hacer para verificar que este todo bien? gracias!  ",2,5,1,1,2018,2,3,1,1,1,3,8,210,0.0,0.7952380952380952,2,39,21,0.8974358974358975,0.023809523809523808,1,0
"perdi mi sube con la que registre el boleto para la unlu, la di por perdida en la pagina de sube, como ago para ingresarla otra vez porque no me deja me sale como beneficio asignado  ",1,1,4,1,2019,3,8,4,1,1,54,4,183,0.0,0.7868852459016393,0,38,27,0.8157894736842105,0.01092896174863388,1,0
donde puedo averiguar porque el gobierno no me acredita el saldo de la sube? ,2,2,9,2,2019,0,8,4,1,1,3,4,77,0.0,0.8051948051948052,0,15,7,0.9333333333333332,0.012987012987012988,1,0
"buenas tardes! quería saber por que aún no se me acredito el saldo en la sube, hice el trámite del boleto estudiantil provincial hace un mes y días. cuando entro a la página me dice que el formulario no pudo completarse y abajo dice que ya lo tengo asignado que quiere decir eso? gracias!  ",0,1,8,2,2019,1,8,4,1,1,29,4,290,0.0,0.7931034482758621,5,56,33,0.8035714285714286,0.017241379310344827,1,0
buenos dias;por favor necesito saber si es factible me envien via mail certificado de materias aprobadas sin notas es para presentar en mi trabajo.soy de moreno. la empresa es sintaryc saic  aguardo rta. saludos cordiales ,2,5,8,2,2018,0,1,1,1,1,3,4,222,0.0,0.8198198198198198,0,37,18,0.8918918918918919,0.018018018018018014,3,0
buenas! llame a sube por el tema del boleto estudiantil y me dijeron como que hay datos mios que no estan actualizados en la universidad. que por eso no lo estaria cobrando. soy de sede campana  ,3,2,7,1,2018,2,6,0,0,0,5,4,195,0.0,0.7948717948717948,0,38,26,0.8684210526315791,0.015384615384615384,2,0
"consulta,me inscribi para hacer el boleto estudiantil y no me llego el mail,&iquest;que tendria que hacer? ",1,2,4,1,2019,3,8,4,1,1,43,4,107,0.0,0.8037383177570093,0,17,8,0.9411764705882352,0.037383177570093455,1,0
"hola, buenas noches. necesitaban saber cuando comenzaríamos el desarrollo del primer cuatrimestre, en el calendario académico dice el 6/03 pero quería averiguar por los paros que estan programados para el 6 y 7 de marzo. desde ya muchas gracias. ",2,1,3,1,2017,3,7,3,1,1,54,4,246,0.0,0.7967479674796748,3,40,19,0.925,0.02032520325203252,3,0
necesito el certificado materias aprobadas. gracias   ,0,5,7,1,2017,0,1,1,1,0,5,4,54,0.0,0.8333333333333334,0,9,4,0.7777777777777778,0.018518518518518517,1,0
hola quería preguntar donde consigo el ticket que me piden los profesores para anotarme en la libreta la promoción de la materia??  muchas gracias  ,5,2,12,2,2015,3,3,2,1,0,16,6,148,0.0,0.8108108108108109,2,27,14,0.8518518518518519,0.013513513513513514,1,0
"buenas noches, quisiera saber cómo sería el tema del boleto estudiantil. yo inicie el trámite y ahora me dice que ya tengo el beneficio asignado pero nunca se me acredito la sube.  gracias, espero su respuesta! ",1,1,4,1,2018,3,7,4,1,1,27,4,211,0.0,0.8009478672985783,3,38,19,0.8947368421052632,0.02369668246445497,2,0
quería consultar por que me sale error de credencial cuando quiero hacer el boleto estudiantil  ,0,1,3,1,2018,1,4,3,1,1,5,4,96,0.0,0.8333333333333334,1,17,8,0.9411764705882352,0.0,1,0
"estoy inscripto para el boleto estudiantil hace mas de 1 año, hubo conflictos con las cargas de las sube en la facultad, lo regularizaron, pero ahora la máquina me dice un mensaje parecido a &quot;usted no posee ningun beneficio activo&quot;, entre en la página y me dice &quot;la persona ya tiene un beneficio activo&quot;. por favor espero respuesta, ya que necesito este beneficio. gracias. ",3,4,10,2,2019,0,4,2,1,1,43,4,394,0.0,0.7944162436548223,2,65,35,0.8461538461538461,0.030456852791878174,3,0
quería saber como tengo que hacer para poder inscribirme a las materias que no me aparecen en la pagina.tengo que ir si o si hasta la universidad para inscribirme o como hago porque las materias que tendría que cursar ahora no me aparesen me aparesen otras. ,0,2,8,2,2016,2,8,2,1,1,3,11,258,0.0,0.813953488372093,2,47,27,0.6595744680851063,0.007751937984496123,2,0
cuando fui a presentar los papeles para confirmar la inscripción me dijeron que esperara 20 días e ingresara mi numero de documento para acceder a mi perfil de aspirante. ya pasaron los 20 días y al intentar acceder me figura que no existen datos. &iquest;que puedo hacer para lograr ingresar? ,2,3,11,2,2018,2,8,0,0,1,5,6,294,0.0,0.7993197278911565,3,51,27,0.7843137254901961,0.013605442176870748,2,0
olvide mi clave para entrar al sistema e inscribirme a las cursadas pero hice todo el procedimiento y aun no me llega el mail para recuperar mi clave. ,2,1,8,2,2018,2,1,3,1,1,5,6,151,0.0,0.8079470198675497,0,29,19,0.8965517241379308,0.006622516556291391,1,0
"buenas tardes, queria hacerles una consulta, estoy intentando hacer la solicitud para inscribirme en las materias para el primer cuatrimestre y me dice que no puedo. como podria solucionarlo ? muchas gracias. ",0,3,2,1,2019,3,8,0,0,1,27,4,209,0.0,0.8229665071770335,0,33,15,0.9696969696969696,0.023923444976076555,2,0
no puedo entrar a mi perfil de estudiante y no me ha llegado un mail para restablecer mi contraseña ,2,1,1,1,2018,1,6,3,1,1,41,6,100,0.0,0.81,0,20,13,0.9,0.0,1,0
"hola buenas tardes, quise  solicitar el boleto gratuito y me dice que ya tengo un beneficio asignado, como puedo saber que beneficio se me otorgo. desde ya muchas gracias, saludos cordiales. ",0,1,8,2,2019,2,1,4,1,1,16,6,191,0.0,0.8062827225130892,0,33,15,0.8484848484848485,0.026178010471204192,2,0
"quisiera saber, en qué estado se encuentra mi solicitud, para el boleto estudiantil. muchas gracias ",0,4,3,1,2019,1,3,4,1,1,5,6,100,0.0,0.82,1,16,7,1.0,0.03,1,0
"hola,  el cuatrimestre anterior por inconveniente familiar debí abandonar. ingreso a la página,  deseo cursar aunque sea ingles 1, pero no me figura ninguna opción de cursada.  que puedo hacer&iquest; no quiero perder la regularidad....  muchas gracias ",1,1,8,2,2017,3,1,1,1,1,4,4,253,0.0,0.7905138339920948,3,42,19,0.8571428571428571,0.03952569169960474,6,0
"ayer 21/06 me robaron mi tarjeta sube. ya me compre y registre una nueva, con mi mismo email. mi duda es &iquest;cuanto se tardaría en que me trasladen el beneficio del boleto estudiantil provincial a mi nueva tarjeta? (ya lo teia asignado y me la cargaban, pero este mes aun no recibí la carga, ya que maso menos el 25 me tocaba) en verdad me es muy necesario..   muchas gracias. ",4,4,6,1,2018,2,5,3,1,1,18,6,381,0.0,0.7585301837270341,2,73,45,0.7671232876712328,0.026246719160104987,5,0
hola yo ya me anote por web y presente los papeles pero no puedo ingresar con mi dni para saber que numero de comisión me corresponde. que debo hacer? ,3,2,11,2,2018,1,3,0,0,1,0,6,151,0.0,0.7947019867549668,1,30,20,0.9333333333333332,0.01324503311258278,1,0
"buenos días, me quisiera anotar para lasu materias del primer cuatrimestre, me dijieron que lo debo hacer por está vía, me podrán orientar, yo ya lleve los papeles a la sede de san miguel, gracias.  ",2,1,2,1,2018,0,1,0,0,1,33,8,199,0.0,0.7889447236180904,4,37,22,0.9189189189189191,0.03015075376884422,1,0
"buenas tardes, envió este mensaje por el motivo que complete los datos de la pre inscripción, dijeron enviarme un e-mail, pero no llega. quería pedirle por favor si me podrían ayudar a solucionarlo para  continuar los pasos, desde ya muchas gracias ",1,3,10,2,2018,1,6,0,0,0,5,6,249,0.0,0.8072289156626506,4,43,20,0.9302325581395348,0.02008032128514056,1,0
"hola buenos dias, estoy en condicion de libre en la universidad porque ya hace un par de años que no curso. me contacto con ustedes porque necesito el porcentaje de materias aprobadas de la carrera que estaba haciendo (profesorado en educación fisica) quedo a la espera de la información muchas gracias.... rocio  ",0,4,3,1,2019,0,3,1,1,1,43,4,314,0.0,0.8057324840764332,2,54,27,0.7777777777777778,0.01910828025477707,5,0
necesito obtener el certificado de materias aprobadas. tambien conocer como es el tramite para la re inscripcion (si es posible) ,1,2,5,1,2019,1,2,1,1,1,54,4,129,0.0,0.8217054263565892,0,21,11,0.9047619047619048,0.007751937984496123,1,0
"buenos días disculpa la molestia, quería saber por qué en la materia psicología general y social aparezco cómo libre?tengo aprobado los dos parciales.. yo ya me anoté para dar final, estando en esa condicion de libre en el sistema, pero regular en realidad. es un problema?o se aclara con las actas a la hora del final? ",5,5,6,1,2018,1,6,3,1,1,5,6,320,0.0,0.796875,6,57,32,0.912280701754386,0.028125,3,0
"buenas tardes, quería consultar sobre la inscripción a las materias del segundo cuatrimestre, que en la página no me aparece nada y quería preguntar si tengo que ir hasta al establecimiento para anotarme o esperar hasta que me aparezca ",0,1,8,2,2019,2,6,0,0,0,17,4,236,0.0,0.826271186440678,4,40,20,0.85,0.00847457627118644,1,0
"buen día, mi consulta es por el tema  del boleto estudiantil, yo soy beneficiario del mismo y me robaron la tarjeta sube, mi pregunta es como puedo hacer para volver a tramitar el beneficio, espero su repsuesta, saludos ",2,4,8,2,2017,0,3,1,1,1,54,4,220,0.0,0.8,1,40,23,0.875,0.022727272727272728,1,0
