Consulta|dia_semana|semana_del_mes|mes|cuatrimestre|anio|hora_discretizada|dni_discretizado|legajo_discretizado|posee_legajo|posee_telefono|carrera_valor|proveedor_correo|Clase
buenas tardes, intenté ingresar a consultar servicios académicos y no puedo.... el mje es &quot;el estudiante no cumple con los requisitos para ingresar al sistema&quot;.  aguardo vuestros comentarios, muchas gracias, |2|4|6|1|2016|1|2|1|1|1|3|hotmail|Requisitos de Ingreso
hola q tal... me olvidé la contraseña.. quiero cambiarla y me dice estudiante inhabilitado... que podría hacer para solucionarlo porque me tengo que anotar en un final de introducción a la administración..  |2|1|12|2|2018|0|3|4|1|1|54|gmail|Requisitos de Ingreso
buen día, tengo un problema y es que no puedo entrar a mi perfil académico  |1|1|12|2|2018|0|7|3|1|0|16|gmail|Requisitos de Ingreso
hola yo habia ido ah la universidad ah terminar la inscripcion y me dijieron que despues tenia que ingresar en mi perfil desde la pagina y cuando intento ingresar me pone que no existen datos para este aspirante. si me podrian dar una solucion por que yo deveria comenzar el 05 de marzo y aun no se el horario que tengo que ah cursar. desde ya muchas gracias. |6|4|2|1|2018|2|7|0|0|1|41|gmail|Requisitos de Ingreso
quería saber hasta cuando tengo tiempo de entregar el analítico del secundario, yo ingrese el año pasado a la universidad. y si no esta si podría entregar algún certificado. muchas gracias  |2|2|2|1|2016|2|5|2|1|1|54|gmail|Requisitos de Ingreso
no recuerdo mi contraseña y me figura como alumno inavilitado |0|2|12|2|2018|1|6|4|1|1|27|gmail|Requisitos de Ingreso
no puedo acceder, probablemente sea por poner una contraseña incorrecta. me dice &quot;estudiante inhabilitado&quot;. gracias. |3|4|11|2|2016|0|5|3|1|1|27|gmail|Requisitos de Ingreso
buenos dias, quiero saber como tengo que hacer para darme de alta? |6|1|2|1|2017|3|5|2|1|0|17|gmail|Requisitos de Ingreso
hola. intente inscribirme en las materias del primer cuatrimestre y me dice que no estoy en condiciones de hacerlo.  me podrán decir cuál es el inconveniente por favor.   |0|3|2|1|2019|0|4|0|0|0|4|hotmail|Requisitos de Ingreso
por que no me puedo inscribir en las materias  |0|3|2|1|2019|2|8|0|0|1|27|gmail|Requisitos de Ingreso
no me deja entrar en el sistema .  |6|4|2|1|2017|1|5|3|1|1|3|gmail|Requisitos de Ingreso
hola buenas noches necesito saber   que hice mal al llenar los formularios de preincripcion ya que quise ingresar a acceso para aspirantes y dice que no estoy registrada |2|3|5|1|2017|2|1|1|1|1|55|gmail|Requisitos de Ingreso
a quien corresponda,  soy graduada del profesorado en historia por la unlu en el año 2016. me inscribí para cursar la licenciatura en historia pero por problemas personales me fue imposible cursar. hay posibilidades de reinscribirme y comenzar a cursar durante el primer cuatrimestre de 2018?  muchas gracias |6|2|2|1|2018|3|3|0|0|0|6|hotmail|Requisitos de Ingreso
quisiera poder anotarme para comenzar la carrera de contador publio me gustaria saber que documentacion preciso poruqe en 2014 curse comercio internacional si neesito presentar toda la documentacion nueva o no? |2|3|2|1|2017|1|3|2|1|1|54|hotmail|Requisitos de Ingreso
hola, buenas tardes. se me vence la prorroga para entregar el titulo el dia martes 22 de febrero de 2017. el comisionista que lleva a legalizar el titulo, no consigue turno. que hago? el titulo lo tengo pero el turno no. desde ya muchas gracias. |4|3|2|1|2017|1|5|2|1|1|2|hotmail|Requisitos de Ingreso
como ago para conseguir mi numero d legajo?  |0|2|3|1|2019|2|3|4|1|0|52|gmail|Requisitos de Ingreso
buenos días, quería hacer una consulta sobre la entrega del analítico. egresé en el año 2017 y quisiera saber si hace falta ir a legalizar el título, o si con la copia de este ya es suficiente (ya que algunos me comentan que el título ya viene legalizado).  muchas gracias |3|1|8|2|2018|0|7|4|1|0|0|gmail|Requisitos de Ingreso
hola quisiera saber si se envio mi solicitud deinscripcion..gracias |5|4|5|1|2017|1|2|1|1|1|16|autloock|Requisitos de Ingreso
hola quería saber porque no puedo ingresar a mi perfil para anotarme a las materias .. hoy temprano tipo 6 de la mañana entre lo mas bien pero no me podía anotar y ahora directamente no puedo entrar ! le agradecería la respuesta .. saludos ..  |3|4|2|1|2017|0|6|3|1|1|43|outlook|Requisitos de Ingreso
buenos dias.cuando ingreso numero de legajo y clave me aparece que el estudiante no cumple con los requisitos. como puedo solucionarlo? desde ya muchas gracias espero su respuesta  |6|2|2|1|2017|2|5|3|1|1|2|gmail|Requisitos de Ingreso
a quien corresponda: buenos días. les comento que año pasado  me había inscrito para la carrera de contador publico, no pude arrancar el taller que se dicto en febrero. ahora me quiero volver anotar para empezar el 2&deg; cuatrimestre y no me deja. (ud. ya se encuentra inscripto como aspirante para el año 2017. no es posible realizar la registración.) desde ya muchas gracias |4|3|4|1|2017|0|2|0|0|1|54|hotmail|Requisitos de Ingreso
buenas noches , no me da la posibilidad de inscribirme en las materias queria saber porque. espero su respuesta. saludos  |0|3|2|1|2018|3|8|0|0|1|5|gmail|Requisitos de Ingreso
no me deja entrar a mi perfil de estudiantes. . me dice que no completo la info... quisiera saver como resolverlo  |1|4|11|2|2018|2|6|4|1|1|41|gmail|Requisitos de Ingreso
no me puedo anotar a las cursadas soy aspirante   |1|3|2|1|2019|3|8|0|0|0|5|gmail|Requisitos de Ingreso
hola buenos dias. tengo un problema y es que no puedo entrar a anotarme a los finales. cuando ingreso legajo y contraseña  me salta que no cumplo con los requisitos. quisiera saber que tengo que hacer para poder anotarme a los finales? muchas gracias |2|1|12|2|2018|1|6|4|1|1|3|gmail|Requisitos de Ingreso
hola, buenaa tardes, quería entrar en la sección de aspirantes / estudiantes de la página pero en aspirantes me dice que poseo legajo pero no estoy habilitado para hacer una consulta y en estudiantes me dice algo similar, espero puedan ayudarme gracias ! |1|1|12|2|2018|1|6|4|1|1|17|gmail|Requisitos de Ingreso
hola quisiera entrar al sistema con mi numero de legajo para anotarme a una carrera pero no me deja como puedo hacer? desde ya gracias  |2|2|3|1|2017|1|3|2|1|1|0|gmil|Requisitos de Ingreso
quiero inscribirme a las materias de la carrera pero me arroja el mensaje de &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot; que tengo que hacer  |0|3|2|1|2019|0|6|0|0|1|54|gmail|Requisitos de Ingreso
necesito saber porque no me deja inscribirme en las materias cuando yo no debo nada del secundario y estoy haciendo el taller de ingreso |0|3|2|1|2019|0|8|0|0|1|43|gmail|Requisitos de Ingreso
quiero ingresar a mi cuenta de la universidad y me dice que no cumplo los requisitos para ingresar al sistema porque?  |0|4|11|2|2018|3|7|4|1|1|54|gmail|Requisitos de Ingreso
hola buenos dias, no me puedo inscribir a las cursadas para rendir el primer cuatrimestre.. |0|3|2|1|2019|0|7|0|0|1|5|gmail|Requisitos de Ingreso
dice que estoy inhabilitada , como hago para volver a habilitar ?  |0|1|2|1|2017|3|5|2|1|0|5|gmail|Requisitos de Ingreso
hola, mi nombre es agustin pompiglio y este año (2018) ingrese en la universidad. actualmente me encuentro cursando el taller de &quot;análisis y resolución de problemas&quot;. mi consulta es acerca de que no me deja inscribirme a las materias via web ya que me informa que &quot;no cumplo con los requisitos&quot;. quería saber si me podrian brindar una solución, desde ya muchas gracias. |0|2|2|1|2018|1|6|0|0|1|3|hotmail|Requisitos de Ingreso
mi consulta es que hoy 5 de diciembre comenzaban las inscripciones a los finales , pero cuando quiero ingresar poniendo mi legajo y mi contraseña me salta que xe2x80x9cel estudiante no cumple con requisitos xe2x80x9c . quisiera saber el porque . gracias  |2|1|12|2|2018|3|7|4|1|1|25|gmail|Requisitos de Ingreso
hola, tengo un problema cuando quiero ingresar al sistema para ver las fechas de los finales para armar mi cronograma, me salta un cartel diciendo: &quot;el estudiante no cumple los requisitos para entrar al sistema&quot;. quisiera saber a que se debe esto. gracias |0|1|12|2|2016|1|4|3|1|1|27|hotmail|Requisitos de Ingreso
buenas tardes,no puedo ingresar para la inscricion de examenes pongo numero de lejago y la clave que me dieron y me dice que es incorrecto ,me podrian decir que puedo hacer para ingresar .muchas gracias.   |0|2|12|2|2018|3|1|4|1|1|7|hotmail|Requisitos de Ingreso
hola quisiera saber que documentacion me falta,ya que hoy intente inscribirme a las materias y no puedo,aparece un cartel avisando que no cumplo con los requisitos correspondientes  |0|3|2|1|2019|2|3|0|0|1|52|gmail|Requisitos de Ingreso
hola no puedo entrar, yo ya soy estudiante, por favor me podrían ayudar con esto, o informarme que tengo que hacer. desde ya muchas gracias.  |0|3|2|1|2017|3|1|3|1|1|54|hotmail|Requisitos de Ingreso
&quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot;   &iquest;que tendría que hacer para poder estar valido para poder inscribirme?  |4|4|2|1|2018|3|7|0|0|1|0|gmail|Requisitos de Ingreso
buen día, estoy intentando anotarme a las materias y no puedo ya que al seguir todos los pasos me dice que no tengo los requisitos necesarios para anotarme. &iquest;qué puedo hacer? espero su respuesta. |0|3|2|1|2019|0|8|0|0|1|5|gmail|Requisitos de Ingreso
no puedo inscribirme a las materias del primer cuatrimestre  |0|3|2|1|2019|3|7|0|0|1|54|gmail|Requisitos de Ingreso
hola!  tenía un problema al enviar la solicitud de inscripción a cursadas. ingreso y figura que no cumplo con los requisitos. quisiera saber si me podrían brindar una solución, gracias.  |5|4|2|1|2019|3|8|0|0|1|25|gmail|Requisitos de Ingreso
buenas , quiero ingresar para anotarme en los finales , y me aparece que no cumplo con los requisitos del sistema , que tengo q hacer ??  |2|1|12|2|2018|0|6|4|1|1|43|live|Requisitos de Ingreso
 a la hora de anotarme a las cursadas me sale este mensaje &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot; me gustaría saber los requisitos que incumplo para ponerlos al día y poder así anotarme adecuadamente |3|3|2|1|2019|2|7|0|0|0|17|live|Requisitos de Ingreso
buenas! en la pagina para anotarme a las materias me figura que no puedo hacerlo porque no estoy autorizada. yo presente toda la documentación en tiempo y forma.  esperó puedan ayudarme y sobre todo tener vacante en los horarios que necesitaba para cursar. saludos |0|3|2|1|2019|2|4|0|0|1|5|gmail|Requisitos de Ingreso
hola buenas tardes..la semana pasada fui a la universidad a inscribirme, me dijeron que me tiene que llegar un gmail con las materias y horarios...la cueation es que aun no me llega nada...quisiera saber cuando se empieza acursar las materias? es por eso que estoy interesada en que me llege el correo |2|3|2|1|2018|2|8|0|0|1|52|gmail|Requisitos de Ingreso
hola necesitaría saber porque no puedo inscribir para el primer cuatrimestre, que me falta. gracias |0|3|2|1|2019|2|4|0|0|1|3|live|Requisitos de Ingreso
no puedo inscribirme porque xe2x80x9cno cumplo con los requisitos necesariosxe2x80x9d |0|3|2|1|2019|0|8|0|0|0|27|gmail|Requisitos de Ingreso
hola, soy cruz elizabeth, aspirante a ingenieria agronomica y queria saber por que no puedo inscribirme para cursar las materias??  |6|4|2|1|2019|1|7|0|0|0|2|gmail|Requisitos de Ingreso
buenas tarde, tengo un inconveniente al querer ingresar a mi cuenta de estudiante, para inscribirme a los examenes finales, cuando quiero ingresar surge un enunciado que dice que el estudiante no reune los requisitos, saludos.. |0|2|12|2|2018|1|5|4|1|1|25|hotmail|Requisitos de Ingreso
no puedo ingrasar a mi cuenta con mi contraseña. intente en &quot;&iquest;he olvidado mi contraseña? y aparece como estudiante inhabilitado |0|2|12|2|2016|3|4|3|1|1|3|hotmail|Requisitos de Ingreso
no me deja inscribirme a la cursadas |4|4|2|1|2018|2|7|0|0|1|3|hotmail|Requisitos de Ingreso
buenas tardes, cuando quise incribirme a las asigaturas no lo pude hacer, ya que me aparece el siguiente cartel: &quot;ud no cumple con los requisitos necesarios para confirmar su inscripción a cursadas&quot; quisiera saber el motivo.  saluda atte. veronica albornoz. |0|3|2|1|2019|2|3|0|0|1|26|gmail|Requisitos de Ingreso
el sistema no me deja anotarme en las materias cuando intento me sale este mensaje &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas&quot;. como lo puedo resolver? |3|3|2|1|2019|3|8|0|0|1|19|gmail|Requisitos de Ingreso
hola! quiero acceder al sistema para inscribirme a los finales pero me salta que no cumplo con los requisitos para poder acceder. |1|2|12|2|2018|3|7|4|1|1|5|hotmail|Requisitos de Ingreso
aparezco como estudiante desahabilitado, puede ser ya que no me anota a ninguna materia del proximo cuatrimestre ni aprobe ningun parcial?  saludos  |2|2|12|2|2018|0|6|3|1|1|95|gmail|Requisitos de Ingreso
buenos días quería saber porque me tirar que no cumplo los requisitos cuando me quiero anotar a las materias? |0|3|2|1|2019|0|8|0|0|1|54|gmail|Requisitos de Ingreso
trato de ingresar al sitio para anotarme en la finales . y dice que no soy un alumno que no cumplo los requisitos para entrar al sistema  |1|2|12|2|2016|0|5|3|1|1|0|hotmail|Requisitos de Ingreso
no puedo ingresar con mi legajo y con mi contraseña a mi perfil |4|2|12|2|2016|0|4|3|1|1|0|gmail|Requisitos de Ingreso
buenas tardes, quería hacer una consulta acerca de porque no me deja ingresar a la cuenta de inscripción cursada. no me estaría dejando anotar |2|3|2|1|2019|3|8|0|0|1|54|gmail|Requisitos de Ingreso
buenos dias, necesito saber por qué a la hora inscribirme a las materias del primer cuatrimestre me dice que no cumplo con los requisitos?. lo que si aclaro es que no realicé el taller en febrero por inconvenientes personales con la idea de hacerlo en julio. |0|3|2|1|2019|0|7|0|0|1|3|gmail|Requisitos de Ingreso
hola queria saber &iquest;porque no puedo entrar a informacion academica? pongo mi nro de legajo y contraseña de manera correcta y no entra |2|1|12|2|2016|3|8|3|1|1|54|gmail|Requisitos de Ingreso
hola, me intento inscribir a las asignaturas y me dice que no tengo los requisitos necesarios. que esta pasando? |0|3|2|1|2019|3|8|0|0|1|0|hotmail|Requisitos de Ingreso
al intentar inscribirme en las asignaturas, me salta el siguiente mensaje: &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot; quisiera saber cual es el problema gracias. |0|3|2|1|2019|1|8|0|0|0|17|yahoo|Requisitos de Ingreso
buenas tardes queria ssber por que no logro anotarme en las asignaturas del cuatrimestre..?? muchas gracias |0|3|2|1|2019|1|8|0|0|1|52|gmail|Requisitos de Ingreso
quiero entrar a mi perfil . me aparece que el estudiante no cumple con los requisitos  para ingresar a el sistema  |5|3|12|2|2018|3|5|4|1|1|2|outlook|Requisitos de Ingreso
hola, no puedo ingresar a la página. cuando ingreso mis datos me aparece &quot;el estudiante no cumple con los requisitos&quot;. quiero consultar mis materias y los finales  |0|1|12|2|2018|2|6|4|1|1|43|hotmail|Requisitos de Ingreso
hola! yo me inscribí este año en la carrera de tecnica en inspección de alimentos, quise anotarme para la inscripción a las cursadas pero me aparece que no tengo los requisitos para anotarme gracias |0|3|2|1|2019|0|8|0|0|1|19|gmail|Requisitos de Ingreso
buenas tardes,no puedo ingresar a mi situación académica,ni tampoco me permite reestablecer la clave aunque yo no la he cambiado ,que debo hacer ? desde ya muchas gracias  |1|1|12|2|2018|0|8|4|1|1|5|gmail|Requisitos de Ingreso
no me deja inscribirme a las cursadas, me salta que yo no cumple con los requisitos necesarios para confirmar . |0|3|2|1|2019|0|7|0|0|0|43|gmail|Requisitos de Ingreso
quería preguntar por qué no me permite inscribirme a las materias para cursar  |0|3|2|1|2019|1|8|0|0|1|0|hotmail|Requisitos de Ingreso
nose qué requisitos me faltaria para poder inscribirme a las materias de cursadas. |2|3|2|1|2019|3|7|0|0|1|54|gmail|Requisitos de Ingreso
no puedo ingresar a mi perfil de alumno |3|1|3|1|2017|3|6|3|1|1|43|gmail|Requisitos de Ingreso
quiero entrar a mi perfil, para anotarme en un final y me salta que no cumplo los requisitos para ingresar al sistema, por que puede ser? me parece raro porque tengo todo al dia |4|1|12|2|2018|1|7|4|1|1|54|gmail|Requisitos de Ingreso
buenas tardes yo me inscribi el dia viernes y me dijeron que hoy podia anotarme en los horarios de cursada pero me dice que no cumplo con los requisitos, que puedo hacer? |0|3|2|1|2019|2|3|0|0|1|52|gmail|Requisitos de Ingreso
buenas, quiero inscribirme a las materias del primer cuatrimestre y no puedo porque me dice que no cumplo con los requisitos. eso a qué se debe si presenté toda la documentación?  |0|3|2|1|2019|1|8|0|0|1|52|hotmail|Requisitos de Ingreso
quisiera saber porque razon no me permite la plataforma inscribirme  a las asignaturas, ya que me dice que no cumplo con los requisitos, quisiera saber que es lo que estaria adeudando para poder hacer efectiva la inscripcion. desde ya muchas gracias! |0|3|2|1|2019|3|8|0|0|1|25|gmail|Requisitos de Ingreso
no me deja inscribirme a las cursadas. dice que no cumplo con los requisitos necesarios para confirmar mi inscripcion a cursadas |4|4|2|1|2018|3|7|0|0|1|3|gmail|Requisitos de Ingreso
que tal, me comunico con ustedes ya que, quiero acceder al sitio servicios academicos, pongo mi legajo y contraseña para acceder y me dice el siguiente mensaje &quot; estudiante no cumple con los requisitos para acceder al sistema&quot; cuando durante un año ingrese al sistema, no se que pasó. gracias |2|3|12|2|2016|1|6|3|1|1|25|hotmail|Requisitos de Ingreso
hola, quisiera saber cuál es el problema que no puedo inscribirme a las materias del primer cuatrimestre? , si ya entregue todo lo requerido.  espero su respuesta, muchas gracias.  |6|3|2|1|2018|3|8|0|0|1|54|gmail|Requisitos de Ingreso
buenas tardes. quería consultar a que se refiere la pagina web con &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot;, que es lo que me responde cuando selecciono para inscribirme en el 1&deg; cuatrimestre  |0|3|2|1|2019|2|7|0|0|0|54|gmail|Requisitos de Ingreso
buen día! quiero anotarme en las cursadas del 1er cuatrimestre y no me deja, dice que no tengo los requisitos para poder anotarme. quisiera ver si me podrían ayudar! muchas gracias. julián. |0|3|2|1|2019|1|7|0|0|1|25|hotmail|Requisitos de Ingreso
buenas tardes, quería consultar quise inscribirme a materias y cuando ingreso a información académica me figura que soy un estudiante inhabilitada, quisiera saber cómo puedo resolverlo o por que sucede esto, gracias |1|4|12|2|2016|2|3|3|1|1|3|hotmail|Requisitos de Ingreso
hola buenas tardes.  quiero hacer la inscripción  a cursadas  pero  no puedo porque  no me acepta .  me dice  :ud  no cumple con los requisitos  necesarios  para confirmar  su inscripción a cursadas.  |1|3|2|1|2019|2|8|0|0|1|18|gmail|Requisitos de Ingreso
qué tal? quería saber cuáles serían los requisitos que me faltan, para poder completarlos y anotarme a la cursada.  hace unas horas quise inscribirme pero me decía que no cumplía con los requisitos.  |0|3|2|1|2019|0|8|0|0|1|19|icloud|Requisitos de Ingreso
hola buenas tardes, quería comunicarles que como sabrán mañana termina el ciclo para anotarse en las cursadas y yo todavía no pude hacerlo porque cada vez que lo intento me salta lo siguiente: &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot; necesitaría su ayuda lo más rápido posible... desde ya muchas gracias |3|4|2|1|2018|1|6|0|0|1|5|gmail|Requisitos de Ingreso
hola,buenas tardes,quisiera saber que requisito me falta para poder inscribirme a las materias de la carrera.muchas gracias  |3|3|2|1|2019|2|8|1|1|1|3|gmail|Requisitos de Ingreso
quiero anotarme en las materias y no puedo ingresar, me dice que no cumplu con los requisitos |2|1|3|1|2017|2|6|3|1|1|54|gmail|Requisitos de Ingreso
hola hace dos años tuve que abandonar la carrera, por trabajo y quisiera retomarla que tramite puedo hacer. muchas gracias saludos  |4|4|2|1|2017|3|3|0|0|1|54|hotmail|Requisitos de Ingreso
al momento de seleccionar la opcion de (inscripcion a cursadas) me dice que &quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot; que estaria faltando? |5|4|2|1|2019|3|7|0|0|1|43|gmail|Requisitos de Ingreso
no puedo ingresar a servicio académico para anotarme a los finales ni restablecer mi contraseña ya que me dice que soy alumno inhabilitado. no entiendo cual es el problema. gracias  |2|2|12|2|2016|1|6|3|1|1|2|hotmail|Requisitos de Ingreso
hola. quiero saber porque no puedo ingresar a mi perfil de estudiante,  me dice que no poseo los requisitos nesesarios   |1|4|11|2|2018|2|8|4|1|1|19|hotmail|Requisitos de Ingreso
buenas tardes! cuando procedo a inscribir las materias a cursar me sale el siguiente mensaje ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas. quisiera saber que debo hacer para realizar la inscripción de las materias. me despido cordialmente de ustedes, esperando una respuesta satisfactoria a mi solicitud.  |0|3|2|1|2019|2|8|0|0|1|4|gmail|Requisitos de Ingreso
hola ,intente ingresar al sistema para anotarme en las materias del próximo cuatrimestre y no pude que podría hacer? gracias.  |4|4|2|1|2017|3|5|3|1|1|27|hotmail|Requisitos de Ingreso
hola. se a me imposibilita ingresar al acceso a información académico, vía web, ya que cuando quiero ingresar a mi cuenta (pongo los datos correctos) me sale un escrito que diciendo -&quot;el estudiante no cumple con los requisitos para ingresar al sistema&quot;-  me gustaría saber cual es el problema y como hago para solucionarlo. desde ya muchas gracias. att: pablo  |1|1|1|1|2017|2|4|3|1|1|5|hotmail|Requisitos de Ingreso
hola queria sabes porque no me deja ingresar al sistema, me dice que no cumplo con los requisitos para ingresar. y me quiero anotar en las materias. |6|4|2|1|2017|1|6|3|1|1|54|hotmail|Requisitos de Ingreso
hola, quiero inscribirme a los horarios de las materias. pero me salta un cartelito que dice que no cumplo con los requisitos necesarios. ayudenme por favor |0|3|2|1|2019|1|8|0|0|1|43|outlook|Requisitos de Ingreso
no puedo lograr abrir mi perfil de estudiante  |2|3|12|2|2018|1|8|4|1|1|0|gmail|Requisitos de Ingreso
hola, intento inscribirme a las materias pero cuando solicito las cursadas me dice este mensaje: ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas. por favor si me pueden ayudar se los agradezco.   |6|3|2|1|2018|3|7|0|0|1|2|hotmail|Requisitos de Ingreso
porque no puedo inscribirme para empezar a cursar ?  |3|3|2|1|2019|2|8|0|0|1|3|gmail|Requisitos de Ingreso
saludos. quería preguntar por que no cuando quiero inscribirme a las materias me salta que no cumplo con los requisitos? |0|3|2|1|2019|0|8|0|0|1|2|gmail|Requisitos de Ingreso
no me puedo anotar a las materias porque no cumplo los requisitos necesarios y no sabría cuáles son  |0|3|2|1|2019|1|7|0|0|0|17|hotmail|Requisitos de Ingreso
queria saber porque no puedo entrar a mi legajo  |1|4|11|2|2016|2|5|3|1|1|4|yahoo|Requisitos de Ingreso
no puedo entrar a mi usuario para consular las fechas de exámenes. me dice que mi documento es incorrecto  |1|2|12|2|2016|3|5|3|1|1|5|gmail|Requisitos de Ingreso
queria una nueva clave ya que la mia no me deja ingresar a consultar las fechas de finales, y cuando quise crear otra clave dice que estoy inhabilitado. muchas gracias, espero su respuesta |2|2|12|2|2016|1|6|3|1|1|3|hotmail|Requisitos de Ingreso
me olvide la contraseña y la necesito para poder saber la fechas de finales |0|4|11|2|2018|1|7|4|1|0|3|facebook|Requisitos de Ingreso
me quiero reincorporar y mo se como hacer. que hago? |4|1|3|1|2017|0|6|3|1|1|3|outlook|Requisitos de Ingreso
por que no me puedo inscribir a las materias. es urgente. es el ultimo dia que puedo hacerlo |4|4|2|1|2018|2|7|0|0|1|27|gmail|Requisitos de Ingreso
hola! me preguntaba por que no podia entrar a mi perfil, me aparece como estudiante inhabilitado cuando pido para cambiar mi clave. necesito ver si me cargaron bien las notas, es urgente!! |1|1|12|2|2018|3|7|4|1|1|43|gmail|Requisitos de Ingreso
buenos dias. no puedo ingresar a mi cuenta para inscribirme al final de matematica 1. me arroja un mjs diciendo que el usuario no cumple con los requisitos. ya tenia el usuario y ahora no me permite ingresar ni restablecer mi contraseña |5|2|12|2|2016|0|6|3|1|1|54|hotmail|Requisitos de Ingreso
hola me dirigo a una consulta. porque no puedo ingresar por alumnos a las pagina a ver mi estado de estudiando.. muchas gracias  |6|3|12|2|2016|1|4|3|1|1|5|gmail|Requisitos de Ingreso
no puedo inscribirme en las materias del primer cuatrimestre. por favor necesito alguna respuesta ya que las fechas de inscripción están por terminar.  |2|4|2|1|2019|1|8|0|0|1|3|gmail|Requisitos de Ingreso
hola yo no puedo entrar para anotarme en los talleres y cambiar la clave nos por que  no puedo entrar  |1|4|11|2|2018|0|7|4|1|1|5|hotmail|Requisitos de Ingreso
